epoch,phase,loss,accuracy,f1,precision,recall
1,train,0.653757061797909,0.0,0.1612314640600746,0.08808672342113305,0.9962606837606837
1,val,0.647679188795257,0.0,0.1478826062991578,0.0822890559732665,1.0
2,train,0.5189269815745339,0.0,0.181940274066677,0.10336395170278609,0.801124409069764
2,val,0.44396768170490597,0.017543859649122806,0.12185874888288464,0.088579822264818,0.3438993105659772
3,train,0.397396659996896,0.021406727828746176,0.1671209709233596,0.14179408010485545,0.21502291735115406
3,val,0.3313482095275009,0.0,0.0,0.0,0.0
4,train,0.327376860361945,0.0,0.04902265553043106,0.17417027417027417,0.029170787492157586
4,val,0.31028171066652266,0.0,0.0,0.0,0.0
5,train,0.28814962870848654,0.0,0.008559550012227928,0.08333333333333333,0.004526748971193416
5,val,0.29025144012350784,0.0,0.0,0.0,0.0
6,train,0.26969937118915244,0.0030581039755351682,0.018521234959068673,0.2222222222222222,0.009841796683901945
6,val,0.2748784903894391,0.0,0.0,0.0,0.0
7,train,0.2530044895975597,0.021406727828746176,0.1038379796488948,0.5555555555555556,0.06140031805715329
7,val,0.2710274144222862,0.0,0.0,0.0,0.0
8,train,0.23813032675591447,0.06422018348623854,0.28261496239167294,0.8181417348084015,0.19098311971991058
8,val,0.2621470684545082,0.0,0.009259259259259259,0.05555555555555555,0.005050505050505051
9,train,0.21031279994078003,0.2018348623853211,0.48028752852891216,0.9196236559139783,0.35121869276166884
9,val,0.26152631797288595,0.05263157894736842,0.17852733686067018,0.3027777777777778,0.15324675324675324
10,train,0.18566765629370277,0.37920489296636084,0.6748539236804365,0.9392221280056676,0.5650377247332767
10,val,0.2552309804841092,0.08771929824561403,0.264484126984127,0.2972222222222222,0.2519240019240019
11,train,0.1662479649078591,0.5749235474006116,0.7724706852559622,0.9477588237900778,0.678862524852852
11,val,0.24560326180960002,0.07017543859649122,0.3055555555555556,0.43518518518518523,0.2722943722943723
12,train,0.14615431086185876,0.6605504587155964,0.8434464633112122,0.9513926495382005,0.7761338449739745
12,val,0.24113114361177412,0.08771929824561403,0.30429894179894185,0.44735449735449734,0.2797017797017797
13,train,0.1289657604074624,0.7125382262996942,0.8681993244383255,0.94231912102055,0.8230446327789038
13,val,0.23711282014846802,0.12280701754385964,0.40384941855530093,0.5603174603174603,0.3575917909251242
14,train,0.11242992638265685,0.7859327217125383,0.9190656283087564,0.9647569999362113,0.8838183144907009
14,val,0.23491625357092472,0.07017543859649122,0.3789529279725359,0.47089947089947093,0.3446288279621613
15,train,0.1056431629196584,0.7767584097859327,0.9085784941937303,0.9337924728728689,0.8924008517645537
15,val,0.23602233644117387,0.08771929824561403,0.4254020670687338,0.5751763668430335,0.3709756293089626
16,train,0.09427715432388702,0.8256880733944955,0.9261739707018671,0.9511717192272747,0.9087857363100499
16,val,0.2302992275932379,0.12280701754385964,0.4402982819649487,0.5879629629629629,0.39454465287798623
17,train,0.07864804401857044,0.908256880733945,0.9716769714684388,0.9823470204294578,0.9624348880966528
17,val,0.23483221781881233,0.12280701754385964,0.42304639804639804,0.5438271604938271,0.3854818021484688
18,train,0.07301620457788491,0.908256880733945,0.9633025922275132,0.9748137979485837,0.9536028517607582
18,val,0.23160721544633833,0.14035087719298245,0.40095645095645094,0.5191358024691357,0.3669632836299503
19,train,0.06344890106890909,0.9204892966360856,0.9719224499447056,0.9749907717775894,0.9705363291302764
19,val,0.23332542808432327,0.14035087719298245,0.4178721213808933,0.4930555555555556,0.387025012025012
20,train,0.058197717395944336,0.9480122324159022,0.9791545241479458,0.9839988814072496,0.9749590109775945
20,val,0.2321484815656093,0.19298245614035087,0.3790123456790123,0.4593915343915344,0.34701378868045535
21,train,0.05318229394859495,0.9357798165137615,0.978698480422023,0.9870450422997111,0.971370444852668
21,val,0.23262111816489905,0.17543859649122806,0.4377405408107162,0.5578703703703703,0.4071989738656405
22,train,0.0457100316722641,0.9755351681957186,0.9915127788063018,0.990458799241694,0.9927347883597883
22,val,0.22858319261617827,0.17543859649122806,0.45135882635882635,0.5500841750841751,0.4217051467051467
23,train,0.044442321319098865,0.9510703363914373,0.9840660600724329,0.9862038176729079,0.9821207424733307
23,val,0.23444618624553346,0.19298245614035087,0.35449260249031417,0.4231481481481481,0.34608786275452946
24,train,0.03998570091771788,0.9877675840978594,0.9962618419411159,0.9967238833517903,0.9958728107952916
24,val,0.239947999255699,0.19298245614035087,0.3976427675447284,0.4981361231361231,0.3821989738656405
25,train,0.03860961829258032,0.9724770642201835,0.9940632644008917,0.9965700483091788,0.9916588857765328
25,val,0.24939233535214475,0.19298245614035087,0.3970097803431137,0.522995522995523,0.3794211960878628
26,train,0.036743801599795664,0.9755351681957186,0.993815229213665,0.9942705306842393,0.9935634404497835
26,val,0.24224498031432168,0.21052631578947367,0.3941163478158139,0.49351851851851847,0.37726070226070224
27,train,0.03535587215277762,0.9755351681957186,0.9918793066322136,0.991294191919192,0.9928581658734354
