epoch,phase,loss,accuracy,f1,precision,recall
1,train,0.6503860908546214,0.0,0.16342949158379866,0.08963954235740174,0.9824934386064401
1,val,0.6354662796907258,0.0,0.14446672933234223,0.08045145488183113,0.9716049382716049
2,train,0.5184130222060994,0.0,0.16986281357043062,0.09696137053304783,0.7365134337264387
2,val,0.4381809030708514,0.017543859649122806,0.16250686381233337,0.12069396471357255,0.38713724547057876
3,train,0.3985608418782552,0.01529051987767584,0.1935489311490268,0.17799117095508057,0.25769884498298024
3,val,0.33172341919781867,0.0,0.0,0.0,0.0
4,train,0.3276933263930341,0.0030581039755351682,0.06347663364090568,0.1386022927689594,0.04224188570328
4,val,0.31411652136267276,0.0,0.0,0.0,0.0
5,train,0.2941641916922473,0.0030581039755351682,0.019056141121358516,0.1527777777777778,0.010231187847466919
5,val,0.2932546776637696,0.0,0.0,0.0,0.0
6,train,0.27030637359035853,0.009174311926605505,0.04310900459032887,0.2777777777777778,0.02372975257172693
6,val,0.2876956332148167,0.0,0.009259259259259259,0.05555555555555555,0.005050505050505051
7,train,0.24875368943455023,0.024464831804281346,0.15064531706333353,0.7564814814814814,0.08887114814378333
7,val,0.27883284813479375,0.017543859649122806,0.014814814814814815,0.027777777777777776,0.010101010101010102
8,train,0.22697721125518144,0.12538226299694188,0.38125364559765185,0.966627305443095,0.26711365959249633
8,val,0.2756191978329106,0.03508771929824561,0.04928989139515455,0.13194444444444445,0.03367003367003366
9,train,0.20737142746966183,0.290519877675841,0.5516930801243679,0.9556232892017208,0.42659425011869473
9,val,0.2685169331860124,0.05263157894736842,0.08296703296703296,0.21031746031746032,0.0735930735930736
10,train,0.1800015197799111,0.40978593272171254,0.6799988784394978,0.9489150705779232,0.574529972465428
10,val,0.26035738671035097,0.08771929824561403,0.19561287477954145,0.3203703703703703,0.181024531024531
11,train,0.15814853808201781,0.5902140672782875,0.8099705894463634,0.9316688758840351,0.7405668768116627
11,val,0.26121370938786287,0.10526315789473684,0.2538733899845011,0.3610119047619047,0.24967933301266632
12,train,0.13728850997916056,0.7033639143730887,0.8583244371708327,0.9430626611936999,0.805043031473182
12,val,0.25386438662545724,0.14035087719298245,0.29740259740259734,0.38561253561253556,0.28351771685105015
13,train,0.13002521241659054,0.6941896024464832,0.8676815545996692,0.9544627137093785,0.8093744324579565
13,val,0.24739891029240793,0.12280701754385964,0.30912698412698414,0.44024216524216525,0.2807399390732724
14,train,0.11053069368779476,0.7951070336391437,0.9171318424686566,0.9634196875029536,0.8882890669438354
14,val,0.24959562431301988,0.17543859649122806,0.33165183581850255,0.4746031746031747,0.32661535994869323
15,train,0.0999179492029575,0.7951070336391437,0.9181821476955722,0.9195661557072565,0.9248076613020147
15,val,0.24807071528936686,0.15789473684210525,0.31965395045105194,0.4265873015873016,0.3090227673561007
16,train,0.08845307871653764,0.8470948012232415,0.9403712198649864,0.9593679931939375,0.9282182015008973
16,val,0.25032236283285575,0.08771929824561403,0.32357373926001376,0.45350918145035796,0.32807439474106137
17,train,0.07896216245601666,0.9051987767584098,0.9633224000279105,0.9654351619350273,0.9625418956688309
17,val,0.24393809835116068,0.15789473684210525,0.3196954280287614,0.33858024691358024,0.3364919031585698
18,train,0.07073483251559261,0.9113149847094801,0.9651474849260071,0.9676781055820948,0.9641723676493792
18,val,0.23677221724861547,0.17543859649122806,0.41626971144515,0.4538139329805996,0.41974106140772804
19,train,0.061054733163173044,0.9388379204892966,0.9786456859371813,0.9850043736132447,0.9743060116767014
19,val,0.240425517684535,0.15789473684210525,0.37768692213136656,0.4431186868686869,0.3691237774571108
20,train,0.055706721334646964,0.9571865443425076,0.9837061138231129,0.9867167323417324,0.9813861663861664
20,val,0.24546388105342262,0.19298245614035087,0.36858863161304045,0.40864197530864194,0.3885682219015552
21,train,0.04944050480648647,0.9510703363914373,0.9837330212130251,0.9766263030981767,0.9912128894767785
21,val,0.24753882383045397,0.19298245614035087,0.3862865348159466,0.41369556369556365,0.38693682860349526
22,train,0.04531979118829838,0.9694189602446484,0.9880378860965576,0.9891958104518491,0.9873216356069645
22,val,0.24439072870371634,0.19298245614035087,0.39357730746619635,0.46838624338624335,0.3763307679974346
23,train,0.04450796476197899,0.9602446483180428,0.9849847416636397,0.9904656211235159,0.9801779219824213
23,val,0.24793300607748198,0.14035087719298245,0.3906806156806157,0.4740114174324701,0.3711960878627545
24,train,0.04070954441750815,0.9694189602446484,0.9890449124700772,0.9926191193128864,0.9859217479201744
24,val,0.24593666614147655,0.21052631578947367,0.45415263748597084,0.5555555555555556,0.4284912618245951
25,train,0.03916890766551371,0.963302752293578,0.9897483895155806,1.0,0.980119151967388
25,val,0.25021764113191974,0.19298245614035087,0.3953774620441288,0.48518518518518516,0.37798621131954463
26,train,0.03660381019161017,0.9785932721712538,0.9930474041468439,0.9935579959804767,0.9925970017636685
26,val,0.2589631561647382,0.21052631578947367,0.41454471454471453,0.5001653439153438,0.402677569344236
27,train,0.03618705641785893,0.963302752293578,0.9881975212196833,0.9902950162806794,0.9865501015106529
27,val,0.25970544208560076,0.17543859649122806,0.4584639640195196,0.5609006734006734,0.44021965688632353
28,train,0.031217010765812084,0.9847094801223242,0.9949017890120646,0.9917369184760491,0.9982638888888888
28,val,0.2594758261714065,0.12280701754385964,0.3843373989064302,0.47513227513227513,0.37467532467532466
29,train,0.03181749279254802,0.9755351681957186,0.9924669008916389,0.9905490065424805,0.9946892294593445
29,val,0.26655409210606623,0.12280701754385964,0.3693786605551311,0.44709595959595955,0.3775372775372775
30,train,0.029480493271478454,0.9847094801223242,0.9949395637636168,0.9943449749484233,0.9956940113190113
30,val,0.25681491536006595,0.14035087719298245,0.4022424943477575,0.49100529100529094,0.3792207792207792
31,train,0.030980796738319806,0.9785932721712538,0.9915449577842167,0.9973544973544973,0.9863163241256547
31,val,0.25765855636513024,0.14035087719298245,0.38501126878319863,0.4432098765432098,0.3699615199615199
32,train,0.030742060655118492,0.9785932721712538,0.9927777887661193,0.9936083977750645,0.9922273982056592
32,val,0.25341463141274034,0.15789473684210525,0.4018416606135905,0.513960113960114,0.3712842712842712
33,train,0.02777416083608563,0.9969418960244648,0.9991708126036484,1.0,0.9983660130718953
33,val,0.2605066482435193,0.19298245614035087,0.4214903192973369,0.5439153439153439,0.3946528779862113
34,train,0.029502211907588012,0.981651376146789,0.9933792509174039,0.9984567901234568,0.9885724445367077
34,val,0.25985763784040483,0.21052631578947367,0.39963038910407334,0.5163410663410662,0.38909732243065576
35,train,0.027999907162393634,0.9847094801223242,0.99390430062131,0.9962324393358877,0.9918040049618997
35,val,0.2623986779597768,0.15789473684210525,0.3777143517339596,0.48221247563352826,0.35823312489979153
36,train,0.027125010762466203,0.9938837920489296,0.9985754985754985,0.9972222222222222,1.0
36,val,0.25900285860948397,0.15789473684210525,0.3749830416497083,0.45589225589225596,0.35646945646945644
37,train,0.024840851226075343,0.9877675840978594,0.99526063201267,0.9926393565282454,0.9980842911877394
37,val,0.25592590528622006,0.21052631578947367,0.3408033324699991,0.44284511784511776,0.3205788039121372
38,train,0.02495496342420031,0.9908256880733946,0.9977340452030473,1.0,0.9955312590986216
